location_type,name,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source
district,Sehore,Madhya Pradesh,Sehore,,23,427,,,lgd
district,Senapati,Manipur,Senapati,,14,257,,,lgd
district,Shahpura,Rajasthan,Shahpura,,8,780,,,lgd
district,Sheikhpura,Bihar,Sheikhpura,,10,219,,,lgd
district,Siang,Arunachal Pradesh,Siang,,12,679,,,lgd
district,Siddipet,Telangana,Siddipet,,36,692,,,lgd
district,Sirmaur,Himachal Pradesh,Sirmaur,,2,24,,,lgd
district,Sivasagar,Assam,Sivasagar,,18,300,,,lgd
district,Sonitpur,Assam,Sonitpur,,18,301,,,lgd
district,South Tripura,Tripura,South Tripura,,16,271,,,lgd
district,Sultanpur,Uttar Pradesh,Sultanpur,,9,185,,,lgd
district,Sundargarh,Odisha,Sundargarh,,21,373,,,lgd
district,Surat,Gujarat,Surat,,24,459,,,lgd
district,Surendranagar,Gujarat,Surendranagar,,24,460,,,lgd
district,Thoothukkudi,Tamil Nadu,Thoothukkudi,,33,594,,,lgd
district,Thrissur,Kerala,Thrissur,,32,566,,,lgd
district,Tirupati,Andhra Pradesh,Tirupati,,28,752,,,lgd
district,Tuensang,Nagaland,Tuensang,,13,249,,,lgd
district,Udam Singh Nagar,Uttarakhand,Udam Singh Nagar,,5,56,,,lgd
district,Udhampur,Jammu And Kashmir,Udhampur,,1,14,,,lgd
district,Ujjain,Madhya Pradesh,Ujjain,,23,435,,,lgd
district,Unnao,Uttar Pradesh,Unnao,,9,186,,,lgd
district,Uttar Dinajpur,West Bengal,Uttar Dinajpur,,19,311,,,lgd
district,Vellore,Tamil Nadu,Vellore,,33,595,,,lgd
district,Wanaparthy,Telangana,Wanaparthy,,36,693,,,lgd
district,West Godavari,Andhra Pradesh,West Godavari,,28,523,,,lgd
district,West Kameng,Arunachal Pradesh,West Kameng,,12,242,,,lgd
district,Yamunanagar,Haryana,Yamunanagar,,6,76,,,lgd
district,Yavatmal,Maharashtra,Yavatmal,,27,500,,,lgd
district,Ahmednagar,Maharashtra,Ahmednagar,,27,466,,,lgd
district,Alluri Sitharama Raju,Andhra Pradesh,Alluri Sitharama Raju,,28,745,,,lgd
district,Amroha,Uttar Pradesh,Amroha,,9,154,,,lgd
district,Anakapalli,Andhra Pradesh,Anakapalli,,28,744,,,lgd
district,Anjaw,Arunachal Pradesh,Anjaw,,12,628,,,lgd
district,Anupgarh,Rajasthan,Anupgarh,,8,776,,,lgd
district,Auraiya,Uttar Pradesh,Auraiya,,9,122,,,lgd
district,Ayodhya,Uttar Pradesh,Ayodhya,,9,140,,,lgd
district,Bajali,Assam,Bajali,,18,739,,,lgd
district,Balangir,Odisha,Balangir,,21,345,,,lgd
district,Bara Banki,Uttar Pradesh,Bara Banki,,9,129,,,lgd
district,Bhadradri Kothagudem,Telangana,Bhadradri Kothagudem,,36,690,,,lgd
district,Bharatpur,Rajasthan,Bharatpur,,8,91,,,lgd
district,Bhojpur,Bihar,Bhojpur,,10,193,,,lgd
district,Bikaner,Rajasthan,Bikaner,,8,93,,,lgd
district,Birbhum,West Bengal,Birbhum,,19,307,,,lgd
district,Charki Dadri,Haryana,Charki Dadri,,6,701,,,lgd
district,Chikkaballapura,Karnataka,Chikkaballapura,,29,630,,,lgd
district,Chittoor,Andhra Pradesh,Chittoor,,28,503,,,lgd
district,Dakshin Bastar Dantewada,Chhattisgarh,Dakshin Bastar Dantewada,,22,376,,,lgd
district,Darrang,Assam,Darrang,,18,283,,,lgd
district,Dehradun,Uttarakhand,Dehradun,,5,49,,,lgd
district,Deogarh,Odisha,Deogarh,,21,351,,,lgd
district,Dhemaji,Assam,Dhemaji,,18,284,,,lgd
district,Dhubri,Assam,Dhubri,,18,285,,,lgd
district,Dibang Valley,Arunachal Pradesh,Dibang Valley,,12,230,,,lgd
district,Didwana-Kuchaman,Rajasthan,Didwana-Kuchaman,,8,768,,,lgd
district,Dimapur,Nagaland,Dimapur,,13,244,,,lgd
district,Dindigul,Tamil Nadu,Dindigul,,33,572,,,lgd
district,Diu,The Dadra And Nagar Haveli And Daman And Diu,Diu,,38,464,,,lgd
district,Doda,Jammu And Kashmir,Doda,,1,4,,,lgd
district,Dungarpur,Rajasthan,Dungarpur,,8,99,,,lgd
district,East Siang,Arunachal Pradesh,East Siang,,12,232,,,lgd
district,Ernakulam,Kerala,Ernakulam,,32,555,,,lgd
district,Etah,Uttar Pradesh,Etah,,9,138,,,lgd
district,Farrukhabad,Uttar Pradesh,Farrukhabad,,9,141,,,lgd
district,Fatehabad,Haryana,Fatehabad,,6,61,,,lgd
district,Fatehpur,Uttar Pradesh,Fatehpur,,9,142,,,lgd
district,Gadag,Karnataka,Gadag,,29,537,,,lgd
district,Gangapurcity,Rajasthan,Gangapurcity,,8,771,,,lgd
district,Gangtok,Sikkim,Gangtok,,11,225,,,lgd
district,Ghaziabad,Uttar Pradesh,Ghaziabad,,9,145,,,lgd
district,Gonda,Uttar Pradesh,Gonda,,9,147,,,lgd
district,Gopalganj,Bihar,Gopalganj,,10,197,,,lgd
district,Gurdaspur,Punjab,Gurdaspur,,3,32,,,lgd
district,Gwalior,Madhya Pradesh,Gwalior,,23,407,,,lgd
district,Hailakandi,Assam,Hailakandi,,18,289,,,lgd
district,Hanumangarh,Rajasthan,Hanumangarh,,8,101,,,lgd
district,Hardoi,Uttar Pradesh,Hardoi,,9,150,,,lgd
district,Hazaribagh,Jharkhand,Hazaribagh,,20,332,,,lgd
district,Hingoli,Maharashtra,Hingoli,,27,477,,,lgd
district,Jagitial,Telangana,Jagitial,,36,681,,,lgd
district,Jajapur,Odisha,Jajapur,,21,356,,,lgd
district,Jamtara,Jharkhand,Jamtara,,20,333,,,lgd
district,Jamui,Bihar,Jamui,,10,198,,,lgd
district,Janjgir-Champa,Chhattisgarh,Janjgir-Champa,,22,379,,,lgd
district,Jehanabad,Bihar,Jehanabad,,10,199,,,lgd
district,Jhargram,West Bengal,Jhargram,,19,703,,,lgd
district,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),,10,200,,,lgd
district,Kancheepuram,Tamil Nadu,Kancheepuram,,33,574,,,lgd
district,Kandhamal,Odisha,Kandhamal,,21,359,,,lgd
district,Kangra,Himachal Pradesh,Kangra,,2,18,,,lgd
district,Kannauj,Uttar Pradesh,Kannauj,,9,155,,,lgd
district,Karnal,Haryana,Karnal,,6,67,,,lgd
district,Kasganj,Uttar Pradesh,Kasganj,,9,633,,,lgd
district,Katni,Madhya Pradesh,Katni,,23,413,,,lgd
district,Khagaria,Bihar,Khagaria,,10,202,,,lgd
district,Kinnaur,Himachal Pradesh,Kinnaur,,2,19,,,lgd
district,Kiphire,Nagaland,Kiphire,,13,614,,,lgd
district,Kishanganj,Bihar,Kishanganj,,10,203,,,lgd
district,Koderma,Jharkhand,Koderma,,20,334,,,lgd
district,Koppal,Karnataka,Koppal,,29,543,,,lgd
district,Kotputli-Behror,Rajasthan,Kotputli-Behror,,8,782,,,lgd
district,Kottayam,Kerala,Kottayam,,32,560,,,lgd
district,Kozhikode,Kerala,Kozhikode,,32,561,,,lgd
district,Krishna,Andhra Pradesh,Krishna,,28,510,,,lgd
district,Kulgam,Jammu And Kashmir,Kulgam,,1,622,,,lgd
district,Kupwara,Jammu And Kashmir,Kupwara,,1,8,,,lgd
district,Kurnool,Andhra Pradesh,Kurnool,,28,511,,,lgd
district,Lakhisarai,Bihar,Lakhisarai,,10,204,,,lgd
district,Latur,Maharashtra,Latur,,27,481,,,lgd
district,Lunglei,Mizoram,Lunglei,,15,265,,,lgd
district,Mahabubabad,Telangana,Mahabubabad,,36,688,,,lgd
district,Mahesana,Gujarat,Mahesana,,24,451,,,lgd
district,Mahrajganj,Uttar Pradesh,Mahrajganj,,9,164,,,lgd
district,Mamit,Mizoram,Mamit,,15,266,,,lgd
district,Mandi,Himachal Pradesh,Mandi,,2,22,,,lgd
district,Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,Manendragarh-Chirmiri-Bharatpur(M C B),,22,760,,,lgd
district,Mayurbhanj,Odisha,Mayurbhanj,,21,365,,,lgd
district,Medchal Malkajgiri,Telangana,Medchal Malkajgiri,,36,700,,,lgd
district,Morena,Madhya Pradesh,Morena,,23,417,,,lgd
district,Murshidabad,West Bengal,Murshidabad,,19,319,,,lgd
district,Nabarangpur,Odisha,Nabarangpur,,21,366,,,lgd
district,Nadia,West Bengal,Nadia,,19,320,,,lgd
district,Nanded,Maharashtra,Nanded,,27,485,,,lgd
district,Nandurbar,Maharashtra,Nandurbar,,27,486,,,lgd
district,Narayanpet,Telangana,Narayanpet,,36,721,,,lgd
district,Narsimhapur,Madhya Pradesh,Narsimhapur,,23,418,,,lgd
district,Neemuch,Madhya Pradesh,Neemuch,,23,419,,,lgd
district,Nicobars,Andaman And Nicobar Islands,Nicobars,,35,603,,,lgd
district,Nirmal,Telangana,Nirmal,,36,680,,,lgd
district,Niwari,Madhya Pradesh,Niwari,,23,722,,,lgd
district,Nizamabad,Telangana,Nizamabad,,36,516,,,lgd
district,Noklak,Nagaland,Noklak,,13,736,,,lgd
district,North Goa,Goa,North Goa,,30,551,,,lgd
district,Pakke Kessang,Arunachal Pradesh,Pakke Kessang,,12,723,,,lgd
district,Pakur,Jharkhand,Pakur,,20,337,,,lgd
district,Pandhurna,Madhya Pradesh,Pandhurna,,23,785,,,lgd
district,Parbhani,Maharashtra,Parbhani,,27,489,,,lgd
district,Paschim Bardhaman,West Bengal,Paschim Bardhaman,,19,704,,,lgd
district,Paschim Medinipur,West Bengal,Paschim Medinipur,,19,318,,,lgd
district,Patiala,Punjab,Patiala,,3,41,,,lgd
district,Patna,Bihar,Patna,,10,212,,,lgd
district,Peddapalli,Telangana,Peddapalli,,36,682,,,lgd
district,Poonch,Jammu And Kashmir,Poonch,,1,10,,,lgd
district,Pratapgarh,Uttar Pradesh,Pratapgarh,,9,174,,,lgd
district,Puducherry,Puducherry,Puducherry,,34,600,,,lgd
district,Pulwama,Jammu And Kashmir,Pulwama,,1,11,,,lgd
district,Pune,Maharashtra,Pune,,27,490,,,lgd
