stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249477,Azamgarh,Azamgarh,801189,5,Municipality,966,Azamgarh,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249428,Baansi,Baansi,801143,5,Municipality,934,Bansi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248947,Bachhraon,Bachhraon,800699,5,Municipality,154,Amroha,District,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248973,Baghpat,Baghpat,800724,5,Municipality,736,Baghpat,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249074,Bah,Bah,800814,5,Municipality,770,Bah,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249135,Bahedi,Bahedi,800853,5,Municipality,784,Baheri,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248935,Bahjoi,Bahjoi,800687,5,Municipality,722,Chandausi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249410,Bahraich,Bahraich,801125,5,Municipality,921,Bahraich,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249497,Ballia,Ballia,801206,5,Municipality,978,Ballia,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249414,Balrampur,Balrampur,801129,5,Municipality,925,Balrampur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249334,Banda,Banda,801051,5,Municipality,871,Banda,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248972,Baraut,बड़ौत,800723,5,Municipality,735,Baraut,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249311,Barua Sagar,Barua Sagar,801028,5,Municipality,860,Jhansi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249430,Basti,Basti,801147,5,Municipality,941404,Amhat Tappa Dubkhara,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249353,Belha,बेल्हा,801071,5,Municipality,159572,Auwar,Village,Full,2024-10-14 08:43:46
